code,value,slots,rarities,carriers,win,gap,error,procs,moved,moved_share,win_зеркало,win_танк,win_ловкач,win_моб,win_старший
acid,80,амулет,uncommon,Битая колба,53.05333333333333,9.886666666666667,0.49730251869979014,0.7129333333333333,0.0,0.0,61.33333333333333,70.63333333333334,69.39999999999999,49.8,14.099999999999998
afterimage,200,экипировка,legendary,Кроссовки исчезающей кнопки,62.46000000000001,19.293333333333333,0.6315143999818358,0.7398,0.0,0.0,69.19999999999999,78.9,74.4,65.13333333333333,24.666666666666668
armor_burst,75,амулет,uncommon,Бронекапсула,53.333333333333336,10.166666666666666,0.4836519782831672,1.0,74.0186,7.552918367346939,61.56666666666667,72.36666666666667,66.63333333333334,51.43333333333333,14.666666666666666
armor_shred,10,оружие,legendary,Молот нулевой брони,73.98,30.813333333333333,0.7389336828717703,3.998066666666667,35.9876,3.6722040816326533,82.33333333333334,91.73333333333333,82.56666666666666,75.66666666666667,37.6
armor_shred,4,оружие,rare,Напильник бронегрыза,58.92666666666667,15.76,0.5831257295790504,3.998066666666667,15.992266666666668,1.6318639455782313,67.23333333333333,79.73333333333333,70.76666666666667,57.099999999999994,19.8
armor_shred,6,оружие,rare,Ржавый колун,61.86666666666667,18.7,0.6240092031097813,2.9998,17.9988,1.8366122448979592,69.89999999999999,81.93333333333334,73.43333333333332,62.1,21.96666666666667
battle_cry,55,амулет,common,Брелок «ОЧЕНЬ ГРОМКО»,48.86666666666667,5.7,0.3710378314109706,1.0,0.0,0.0,57.13333333333333,65.66666666666666,62.46666666666667,46.7,12.366666666666665
berserker,12,амулет,common,Голодный календарик,49.306666666666665,6.140000000000001,0.38419293945054256,0.0,0.0,0.0,56.96666666666667,68.0,62.133333333333326,46.86666666666667,12.566666666666668
berserker,45,оружие,legendary,Старый компрессор,69.26666666666667,26.1,0.7028576751572363,0.0,0.0,0.0,78.13333333333333,86.63333333333333,79.43333333333334,71.26666666666667,30.866666666666664
bite,90,амулет,rare,Клык пиявки,56.513333333333335,13.346666666666668,0.5442569237643368,1.0,65.0726,6.640061224489795,65.76666666666667,73.16666666666667,69.93333333333334,56.8,16.900000000000002
bleed,2,оружие,rare,Игла кровопускателя,61.76666666666667,18.6,0.6532322698907042,11.584066666666667,73.11226666666667,7.46043537414966,73.1,81.6,77.5,51.866666666666674,24.766666666666666
bleed,2,экипировка,rare,Ботинки с кнопкой в носке,59.61333333333333,16.44666666666667,0.6298371385756101,11.693666666666667,59.70493333333334,6.092340136054422,71.2,79.33333333333333,75.16666666666667,49.833333333333336,22.53333333333333
bleed,5,экипировка,legendary,Берцы с гвоздями в подошве,71.61999999999999,28.453333333333337,0.734972141901307,11.0132,138.27706666666666,14.10990476190476,82.0,88.93333333333334,85.6,66.8,34.766666666666666
bleed,6,оружие,legendary,Пила алого следа,79.22,36.053333333333335,0.7746307528215021,10.504266666666666,192.37593333333334,19.630197278911567,88.9,93.26666666666667,90.26666666666667,77.3,46.36666666666667
blood_pact,70,амулет,legendary,Кровавый договор,64.96,21.793333333333333,0.6607065882754114,2.6050666666666666,176.72126666666668,18.03278231292517,73.43333333333332,89.63333333333333,71.66666666666667,64.1,25.966666666666665
burn,12,оружие,legendary,Клинок вечного жара,68.96,25.793333333333337,0.7172703624359529,10.849733333333333,125.08186666666667,12.763455782312928,79.4,86.5,83.1,64.23333333333333,31.566666666666666
burn,4,оружие,rare,Паяльная сабля,57.06666666666666,13.900000000000002,0.6001179627874614,11.505733333333334,44.0146,4.4912857142857145,67.7,77.13333333333333,72.23333333333333,48.13333333333333,20.133333333333333
burn,6,оружие,rare,Горящий клинок,60.03333333333334,16.866666666666667,0.6346998836982154,11.3438,66.01793333333333,6.736523809523809,71.36666666666667,79.4,75.73333333333333,50.66666666666667,23.0
candle,90,амулет,legendary,Свеча чёрного солнца,70.60666666666665,27.439999999999998,1.0206209586123263,1.0,68.25333333333333,6.964625850340135,73.0,75.33333333333333,74.2,71.06666666666666,59.43333333333334
chill,100,амулет,legendary,Клык вечной мерзлоты,66.46,23.293333333333333,0.6764836349718352,3.0,0.0,0.0,75.8,84.1,78.56666666666666,67.66666666666666,26.166666666666664
cocoon,250,амулет,legendary,Шипастый кокон,66.30666666666667,23.14,0.9665956079989444,2.0,240.06766666666667,24.49670068027211,75.73333333333333,74.2,80.16666666666666,70.86666666666666,30.566666666666663
coin_rake,1,оружие,rare,Карманный вымогатель,43.166666666666664,0.0,0.0,0.0,0.0,0.0,50.5,61.33333333333333,56.2,39.06666666666666,8.733333333333333
coin_rake,3,оружие,legendary,Казначейский клинок,43.166666666666664,0.0,0.0,0.0,0.0,0.0,50.5,61.33333333333333,56.2,39.06666666666666,8.733333333333333
collector,25,амулет,legendary,Магнит для трофеев,43.166666666666664,0.0,0.0,0.0,0.0,0.0,50.5,61.33333333333333,56.2,39.06666666666666,8.733333333333333
combo,5,оружие,rare,Чемодан комбо,56.02,12.853333333333333,0.5356217376860966,0.0,0.0,0.0,64.46666666666667,76.3,67.33333333333333,54.166666666666664,17.833333333333336
combo,5,амулет,uncommon,Цепочка из скрепок,55.69333333333333,12.526666666666667,0.5297616517896365,0.0,0.0,0.0,64.23333333333333,76.0,67.0,53.7,17.533333333333335
countercrit,20,амулет,rare,Ловец критов,55.54666666666667,12.379999999999999,0.5270925350448754,0.6830666666666667,0.0,0.0,64.66666666666666,74.06666666666666,71.43333333333334,53.233333333333334,14.333333333333334
crit_guard,30,амулет,uncommon,Ситечко от критов,48.24,5.073333333333333,0.35120907814248936,0.6830666666666667,0.0,0.0,56.56666666666666,67.63333333333334,62.23333333333333,44.06666666666666,10.7
crushing_grip,20,экипировка,legendary,Перчатки абсолютного турбо,71.91333333333333,28.746666666666666,0.7243046250410916,1.0,20.0,2.0408163265306123,81.2,91.0,83.16666666666667,74.3,29.9
death_shield,20,амулет,legendary,Медаль «Не сегодня»,74.24,31.07333333333333,0.7406490649168433,0.5683333333333334,0.0,0.0,83.63333333333334,91.36666666666666,85.13333333333334,78.0,33.06666666666666
dodge_heal,160,экипировка,legendary,Рукавицы старшего уклониста-медика,63.13999999999999,19.973333333333336,0.6398343585752992,1.3106,195.19933333333333,19.918299319727893,69.16666666666667,82.86666666666666,71.86666666666667,63.63333333333333,28.166666666666668
dodge_heal,70,амулет,uncommon,Резиновая уточка тактика,54.30666666666667,11.14,0.5035245716370581,1.3125333333333333,90.7902,9.26430612244898,60.5,75.26666666666667,64.53333333333333,53.233333333333334,18.0
dodge_heal,90,экипировка,rare,Рукавицы уклониста-медика,56.85333333333333,13.686666666666666,0.5500633487115513,1.3138666666666667,116.03086666666667,11.839884353741496,63.0,78.0,66.43333333333334,56.599999999999994,20.233333333333334
echo_strike,200,экипировка,legendary,Рукавицы повелителя банок,69.99333333333333,26.826666666666664,0.7090627896018089,1.0,200.23093333333333,20.431727891156463,79.33333333333333,80.96666666666667,83.43333333333334,76.1,30.133333333333333
executioner,16,амулет,common,Молоточек для важных дел,48.49333333333333,5.326666666666666,0.3593904339368315,0.0,0.0,0.0,56.13333333333333,67.53333333333333,61.133333333333326,45.56666666666666,12.1
executioner,50,оружие,rare,Бутылка последнего шанса,59.66666666666667,16.5,0.5940323938689407,0.0,0.0,0.0,68.53333333333333,79.4,72.1,57.96666666666667,20.333333333333332
ferocity,6,амулет,common,Злой пельмень в кулоне,51.800000000000004,8.633333333333333,0.4494776109869718,0.0,0.0,0.0,60.66666666666667,70.13333333333334,64.60000000000001,49.43333333333334,14.166666666666666
first_strike,100,экипировка,legendary,Кроссовки короля фальстартов,70.58666666666666,27.42,0.8970939613119471,0.0,0.0,0.0,79.03333333333333,82.43333333333334,80.86666666666666,75.8,34.8
first_strike,25,амулет,common,Амулет левого носка,50.93333333333333,7.766666666666666,0.6944667996395839,0.0,0.0,0.0,60.03333333333334,67.4,62.76666666666667,49.93333333333334,14.533333333333335
first_strike,60,экипировка,rare,Кроссовки нарушителя старта,60.81333333333333,17.646666666666665,0.8810263165555909,0.0,0.0,0.0,70.46666666666667,75.53333333333333,72.33333333333334,63.06666666666667,22.666666666666664
focused,110,амулет,rare,Прицел из скрепки,59.00666666666666,15.840000000000002,0.5843262150640177,0.0,0.0,0.0,67.46666666666667,75.23333333333333,77.66666666666666,56.89999999999999,17.766666666666666
focused,120,оружие,rare,Клавиатура реванша,60.39333333333333,17.226666666666667,0.6043252861486859,0.0,0.0,0.0,68.7,76.66666666666667,78.96666666666667,58.8,18.833333333333332
gambler,60,амулет,rare,Кнопка «авось»,62.82,19.653333333333332,0.9801737596177503,1.0,38.06666666666667,3.884353741496599,67.86666666666666,72.33333333333334,69.89999999999999,62.73333333333333,41.266666666666666
giant_slayer,45,амулет,rare,Линейка против больших,52.71333333333333,9.546666666666667,0.47028712164844416,0.0,0.0,0.0,50.5,61.33333333333333,56.2,39.06666666666666,56.46666666666667
glass_crit,200,амулет,legendary,Всевидящий стеклянный глаз,69.25333333333333,26.08666666666667,0.7027415099425653,0.6886,0.0,0.0,73.73333333333333,84.3,74.76666666666667,69.69999999999999,43.766666666666666
heavy_combo,40,оружие,rare,Кувалда третьего удара,56.92666666666667,13.76,0.5513006565238175,2.332866666666667,0.0,0.0,65.33333333333333,76.5,69.13333333333334,55.50000000000001,18.166666666666668
heavy_combo,45,оружие,legendary,Маятник тяжёлого ритма,67.13333333333334,23.966666666666665,0.6831730909852187,3.8058666666666667,0.0,0.0,75.56666666666668,85.33333333333334,78.0,68.86666666666666,27.900000000000002
last_stand,1,амулет,uncommon,Пробковый шлем,56.75333333333333,13.586666666666666,0.5483675637725253,0.5683333333333334,0.0,0.0,65.33333333333333,75.73333333333333,69.66666666666667,56.00000000000001,17.033333333333335
late_strike,130,амулет,uncommon,Маятник инициативы,49.333333333333336,6.166666666666667,0.384971631743847,0.3406,0.0,0.0,57.3,66.26666666666667,62.1,47.9,13.100000000000001
lucky,12,оружие,rare,Треснувшее зеркало,57.13333333333333,13.966666666666667,0.6011432773268374,0.0,0.0,0.0,65.5,75.5,69.3,56.833333333333336,18.53333333333333
lucky,20,оружие,legendary,Зеркальный шар,65.22,22.053333333333335,0.7088196264861015,0.0,0.0,0.0,74.4,82.96666666666667,76.4,65.53333333333333,26.8
lucky,5,амулет,common,Кость с семью точками,49.120000000000005,5.953333333333333,0.4164772142455127,0.0,0.0,0.0,56.833333333333336,67.76666666666667,62.26666666666667,45.800000000000004,12.933333333333334
medkit,20,амулет,uncommon,Сердце аптечки,68.71333333333334,25.546666666666667,0.6979657512469347,0.9498,191.43,19.533673469387754,77.9,88.33333333333333,80.46666666666667,70.7,26.166666666666664
mirror_soul,20,амулет,rare,Зеркало души,23.419999999999998,-19.74666666666667,0.810697991412976,0.0,0.0,0.0,50.5,5.6000000000000005,22.166666666666668,30.099999999999998,8.733333333333333
mob_hunter,15,оружие,rare,Копьё зверобоя,48.07333333333334,4.906666666666667,0.34569510656089764,0.0,0.0,0.0,50.5,61.33333333333333,56.2,63.6,8.733333333333333
mob_ward,30,амулет,rare,Оберег охотника,53.766666666666666,10.6,0.49265921535428336,0.0,0.0,0.0,50.5,61.33333333333333,56.2,92.06666666666666,8.733333333333333
momentum,2,амулет,rare,Заводное колесо,57.57333333333333,14.406666666666668,0.5619874828178846,0.0,0.0,0.0,66.23333333333333,78.53333333333333,70.5,54.43333333333334,18.166666666666668
momentum,3,оружие,rare,Заводная алебарда,60.03333333333334,16.866666666666667,0.5992763612361176,0.0,0.0,0.0,68.7,80.0,72.6,58.599999999999994,20.266666666666666
